Iteration,C Execution Time (s),Assembly Execution Time (s)
1,0.0020s,0.0020s
2,0.0010s,0.0020s
3,0.0010s,0.0010s
4,0.0010s,0.0020s
5,0.0010s,0.0010s
6,0.0010s,0.0020s
7,0.0010s,0.0010s
8,0.0010s,0.0010s
9,0.0010s,0.0010s
10,0.0010s,0.0010s
11,0.0010s,0.0010s
12,0.0010s,0.0010s
13,0.0010s,0.0010s
14,0.0010s,0.0020s
15,0.0010s,0.0010s
16,0.0010s,0.0010s
17,0.0010s,0.0010s
18,0.0010s,0.0010s
19,0.0010s,0.0010s
20,0.0010s,0.0010s
21,0.0010s,0.0010s
22,0.0010s,0.0010s
23,0.0010s,0.0020s
24,0.0010s,0.0020s
25,0.0010s,0.0010s
26,0.0000s,0.0020s
27,0.0010s,0.0010s
28,0.0010s,0.0010s
29,0.0010s,0.0020s
30,0.0010s,0.0010s
Average,0.0010s,0.0013s
